Namespace,Code,Name
OCAN,GVOC,Greater Vancouver OC
OUSA,BAOC,Bay Area OC
OUSA,COC,Cascade OC
OUSA,CROC,Columbia River OC
OUSA,CSU,Cambridge Sports Union
OUSA,CTOC,City of Trees OC
OUSA,DVOA,Delaware Valley OA
OUSA,EWOC,Eastern Washington OC
OUSA,FRR,Forest Runs
OUSA,GAOC,Georgia OC
OUSA,LROC,Laramie Range OC
OUSA,NEOC,New England OC
OUSA,OCIN,Orienteering Cincinnati
OUSA,OK,Orienteer Kansas
OUSA,QOC,Quantico OC
OUSA,RMOC,Rocky Mountain OC
OUSA,SAMM,Sammamish OC
WIOL,ABM,Archbishop Murphy
WIOL,ALC,Attic Learning Community
WIOL,ARL,Arlington
WIOL,ART,Artondale Elementary
WIOL,BBL,Bishop Blanchet
WIOL,BCC,Bellevue College
WIOL,BED,Burlington-Edison
WIOL,BEL,Bellevue
WIOL,BEN,Ben Rush Elementary
WIOL,BES,Brier Elementary
WIOL,BET,Bethel
WIOL,BMS,Bethel Middle School
WIOL,BPS,Big Picture School
WIOL,BRE,Bremerton
WIOL,BRT,Brier Terrace Middle School
WIOL,BUS,The Bush School
WIOL,BVM,Bellevue Montessori
WIOL,BWW,Brightwater Waldorf
WIOL,CAS,Cascadia Elementary
WIOL,CBE,Clara Barton Elementary
WIOL,CDR,Cedar River Elementary
WIOL,CHE,Clyde Hill Elementary
WIOL,CHM,Chehalis Middle
WIOL,CKM,Chinook Middle
WIOL,CLK,Chloe Clark Elementary
WIOL,CLV,Cleveland
WIOL,CME,Crista McAuliffe Elementary
WIOL,CMP,Camas Prairie Elementary
WIOL,CMT,Cougar Mountain Middle School
WIOL,COL,Columbia Elementary
WIOL,CSI,Chief Sealth
WIOL,CSM,Colorado School of Mines
WIOL,CTR,The Center School
WIOL,CUR,Curtis
WIOL,CWU,Central Washington University
WIOL,DCS,Discovery Community School
WIOL,DEN,Denny Middle School
WIOL,DKS,Emily Dickinson Elementary
WIOL,DSS,Downton School - Seattle
WIOL,EAS,Environmental & Adventure School
WIOL,ECK,Eckstein Middle School
WIOL,EDC,Edmonds College
WIOL,EGM,Evergreen Middle
WIOL,EHS,Edmonds Heights K12
WIOL,EIN,Einstein Middle School
WIOL,ELK,Eastlake
WIOL,ELP,Elk Plain K-8
WIOL,EMS,Eisenhower Middle School
WIOL,ENE,Enatai Elementary
WIOL,ESM,Eagle Staff Middle School
WIOL,ESP,Eastside Prepatory
WIOL,EUW,Early Entrance UW
WIOL,EVT,Everett
WIOL,EXC,Explorer Community School
WIOL,EXM,Explorer Middle School
WIOL,FIN,Finn Hill Middle School
WIOL,FRS,Forest Ridge School
WIOL,GAR,Garfield
WIOL,GAT,Gateway Middle school
WIOL,GIG,Gig Harbor
WIOL,GLP,Glacier Peak
WIOL,GPK,Glacier Park Elementary
WIOL,GRC,Green River College
WIOL,HAZ,Hazen
WIOL,HLT,Highland Terrace Elementary
WIOL,HMS,Hamilton International MS
WIOL,HOM,Home School
WIOL,HZW,Hazel Wolf K-8
WIOL,ICS,International Community School
WIOL,IGH,Ingraham
WIOL,ILM,Island Middle
WIOL,ING,Inglemoor
WIOL,IPE,Island Park Elementary
WIOL,ISS,Issaquah
WIOL,JAC,Jackson
